BuoyID,Year,Hour,Min,DOY,Lat,Lon
90095,2017,22,00,109.917,88.86040,11.70610
90095,2017,22,30,109.938,88.85960,11.67940
90095,2017,23,00,109.959,88.85880,11.64880
90095,2017,23,30,109.979,88.85770,11.62540
90095,2017,00,00,110.000,88.85690,11.60250
90095,2017,00,30,110.021,88.85610,11.58350
90095,2017,01,00,110.042,88.85540,11.57460
90095,2017,01,30,110.063,88.85470,11.57070
90095,2017,02,00,110.084,88.85410,11.57540
90095,2017,02,30,110.104,88.85360,11.58280
90095,2017,03,00,110.125,88.85300,11.59030
90095,2017,03,30,110.146,88.85220,11.59430
90095,2017,04,00,110.167,88.85170,11.60530
90095,2017,04,30,110.188,88.85100,11.62340
90095,2017,05,00,110.209,88.85030,11.63740
90095,2017,05,30,110.229,88.84940,11.64790
90095,2017,06,00,110.250,88.84870,11.66260
90095,2017,06,30,110.271,88.84790,11.67080
90095,2017,07,00,110.292,88.84710,11.68470
90095,2017,07,30,110.313,88.84620,11.69940
90095,2017,08,00,110.334,88.84530,11.71230
90095,2017,08,30,110.354,88.84430,11.72490
90095,2017,09,00,110.375,88.84330,11.73810
90095,2017,09,30,110.396,88.84220,11.75040
90095,2017,10,00,110.417,88.84110,11.76100
90095,2017,10,30,110.438,88.83990,11.76970
90095,2017,11,00,110.459,88.83870,11.77410
90095,2017,11,30,110.479,88.83740,11.77720
90095,2017,12,00,110.500,88.83590,11.77800
90095,2017,12,30,110.521,88.83450,11.77960
90095,2017,13,00,110.542,88.83310,11.77170
90095,2017,13,30,110.563,88.83160,11.76730
90095,2017,14,00,110.584,88.83000,11.76290
90095,2017,14,30,110.604,88.82860,11.75760
90095,2017,15,00,110.625,88.82700,11.75110
90095,2017,15,30,110.646,88.82560,11.74620
90095,2017,16,00,110.667,88.82410,11.74340
90095,2017,16,30,110.688,88.82260,11.74420
90095,2017,17,00,110.709,88.82110,11.74520
90095,2017,17,30,110.729,88.81970,11.74870
90095,2017,18,00,110.750,88.81820,11.75630
90095,2017,18,30,110.771,88.81660,11.76440
90095,2017,19,00,110.792,88.81510,11.76870
90095,2017,19,30,110.813,88.81350,11.77290
90095,2017,20,00,110.834,88.81190,11.77860
90095,2017,20,30,110.854,88.81030,11.78490
90095,2017,21,00,110.875,88.80860,11.79390
90095,2017,21,30,110.896,88.80690,11.80140
90095,2017,22,00,110.917,88.80520,11.81110
90095,2017,22,30,110.938,88.80350,11.82130
90095,2017,23,00,110.959,88.80180,11.82570
90095,2017,23,30,110.979,88.80010,11.83120
90095,2017,00,00,111.000,88.79830,11.83440
90095,2017,00,30,111.021,88.79660,11.83740
90095,2017,01,00,111.042,88.79490,11.83910
90095,2017,01,30,111.063,88.79310,11.84230
90095,2017,02,00,111.084,88.79130,11.83990
90095,2017,02,30,111.104,88.78960,11.83850
90095,2017,03,00,111.125,88.78790,11.84190
90095,2017,03,30,111.146,88.78620,11.84410
90095,2017,04,00,111.167,88.78450,11.83750
90095,2017,04,30,111.188,88.78280,11.83570
90095,2017,05,00,111.209,88.78130,11.82700
90095,2017,05,30,111.229,88.77960,11.81670
90095,2017,06,00,111.250,88.77800,11.80680
90095,2017,06,30,111.271,88.77640,11.80060
90095,2017,07,00,111.292,88.77470,11.78710
90095,2017,07,30,111.313,88.77310,11.77590
90095,2017,08,00,111.334,88.77140,11.76360
90095,2017,08,30,111.354,88.76980,11.75140
90095,2017,09,00,111.375,88.76820,11.74100
90095,2017,09,30,111.396,88.76650,11.72670
90095,2017,10,00,111.417,88.76480,11.72660
90095,2017,10,30,111.438,88.76320,11.70720
90095,2017,11,00,111.459,88.76160,11.67700
90095,2017,11,30,111.479,88.75970,11.65730
90095,2017,12,00,111.500,88.75800,11.62980
90095,2017,12,30,111.521,88.75640,11.59840
90095,2017,13,00,111.542,88.75470,11.57230
90095,2017,13,30,111.563,88.75300,11.54390
90095,2017,14,00,111.584,88.75140,11.51350
90095,2017,14,30,111.604,88.74980,11.48440
90095,2017,15,00,111.625,88.74820,11.45470
90095,2017,15,30,111.646,88.74660,11.42320
90095,2017,16,00,111.667,88.74500,11.40210
90095,2017,16,30,111.688,88.74360,11.37360
90095,2017,17,00,111.709,88.74200,11.34980
90095,2017,17,30,111.729,88.74050,11.32750
90095,2017,18,00,111.750,88.73900,11.30220
90095,2017,18,30,111.771,88.73740,11.27880
90095,2017,19,00,111.792,88.73600,11.25970
90095,2017,19,30,111.813,88.73450,11.23720
90095,2017,20,00,111.834,88.73290,11.21720
90095,2017,20,30,111.854,88.73150,11.19860
90095,2017,21,00,111.875,88.73000,11.18270
90095,2017,21,30,111.896,88.72850,11.16900
90095,2017,22,00,111.917,88.72720,11.14910
90095,2017,22,30,111.938,88.72550,11.13730
90095,2017,23,00,111.959,88.72410,11.12310
90095,2017,23,30,111.980,88.72270,11.11190
90095,2017,00,00,112.000,88.72130,11.09850
90095,2017,00,30,112.021,88.71980,11.08500
90095,2017,01,00,112.042,88.71840,11.07360
90095,2017,01,30,112.063,88.71700,11.06290
90095,2017,02,00,112.084,88.71550,11.05210
90095,2017,02,30,112.104,88.71410,11.03990
90095,2017,03,00,112.125,88.71270,11.02820
90095,2017,03,30,112.146,88.71160,11.02250
90095,2017,04,00,112.167,88.71020,11.01130
90095,2017,04,30,112.188,88.70870,11.00380
90095,2017,05,00,112.209,88.70720,10.99450
90095,2017,05,30,112.229,88.70570,10.98700
90095,2017,06,00,112.250,88.70410,10.98050
90095,2017,06,30,112.271,88.70260,10.96780
90095,2017,07,00,112.292,88.70110,10.96080
90095,2017,07,30,112.313,88.69960,10.95430
90095,2017,08,00,112.334,88.69800,10.94710
90095,2017,08,30,112.354,88.69630,10.94100
90095,2017,09,00,112.375,88.69470,10.93500
90095,2017,09,30,112.396,88.69280,10.92820
90095,2017,10,00,112.417,88.69120,10.92450
90095,2017,10,30,112.438,88.68960,10.91750
90095,2017,11,00,112.459,88.68780,10.91170
90095,2017,11,30,112.480,88.68600,10.90060
90095,2017,12,00,112.500,88.68420,10.89240
90095,2017,12,30,112.521,88.68250,10.88590
90095,2017,13,00,112.542,88.68070,10.88000
90095,2017,13,30,112.563,88.67880,10.87050
90095,2017,14,00,112.584,88.67690,10.86050
90095,2017,14,30,112.604,88.67510,10.85140
90095,2017,15,00,112.625,88.67310,10.83810
90095,2017,15,30,112.646,88.67130,10.82610
90095,2017,16,00,112.667,88.66920,10.81800
90095,2017,16,30,112.688,88.66720,10.80280
90095,2017,17,00,112.709,88.66510,10.78670
90095,2017,17,30,112.729,88.66290,10.76600
90095,2017,18,00,112.750,88.66070,10.74490
90095,2017,18,30,112.771,88.65850,10.72680
90095,2017,19,00,112.792,88.65650,10.70370
90095,2017,19,30,112.813,88.65430,10.68090
90095,2017,20,00,112.834,88.65210,10.65760
90095,2017,20,30,112.854,88.64990,10.62930
90095,2017,21,00,112.875,88.64770,10.60120
90095,2017,21,30,112.896,88.64550,10.57010
90095,2017,22,00,112.917,88.64350,10.54220
90095,2017,22,30,112.938,88.64160,10.50600
90095,2017,23,00,112.959,88.63940,10.46900
90095,2017,23,30,112.979,88.63750,10.42870
90095,2017,00,00,113.000,88.63560,10.38940
90095,2017,00,30,113.021,88.63370,10.34930
90095,2017,01,00,113.042,88.63200,10.30740
90095,2017,01,30,113.063,88.63020,10.26390
90095,2017,02,00,113.084,88.62850,10.21960
90095,2017,02,30,113.104,88.62690,10.17540
90095,2017,03,00,113.125,88.62520,10.13180
90095,2017,03,30,113.146,88.62370,10.09010
90095,2017,04,00,113.167,88.62200,10.04160
90095,2017,04,30,113.188,88.62020,9.99780
90095,2017,05,00,113.209,88.61820,9.95150
90095,2017,05,30,113.229,88.61630,9.90450
90095,2017,06,00,113.250,88.61450,9.85890
90095,2017,06,30,113.271,88.61270,9.81660
90095,2017,07,00,113.292,88.61080,9.76640
90095,2017,07,30,113.313,88.60890,9.71990
90095,2017,08,00,113.334,88.60700,9.67470
90095,2017,08,30,113.354,88.60510,9.63090
90095,2017,09,00,113.375,88.60320,9.58790
90095,2017,09,30,113.396,88.60140,9.54830
90095,2017,10,00,113.417,88.59950,9.50930
90095,2017,10,30,113.438,88.59760,9.47200
90095,2017,11,00,113.459,88.59580,9.43530
90095,2017,11,30,113.479,88.59410,9.40340
90095,2017,12,00,113.500,88.59230,9.37100
90095,2017,12,30,113.521,88.59070,9.34020
90095,2017,13,00,113.542,88.58910,9.31160
90095,2017,13,30,113.563,88.58740,9.28420
90095,2017,14,00,113.584,88.58580,9.26030
90095,2017,14,30,113.604,88.58420,9.23740
90095,2017,15,00,113.625,88.58260,9.21490
90095,2017,15,30,113.646,88.58090,9.19580
90095,2017,16,00,113.667,88.57920,9.17630
90095,2017,16,30,113.688,88.57740,9.15610
90095,2017,17,00,113.709,88.57560,9.12840
90095,2017,17,30,113.729,88.57390,9.09750
90095,2017,18,00,113.750,88.57200,9.06530
90095,2017,18,30,113.771,88.57010,9.03360
90095,2017,19,00,113.792,88.56830,9.00400
90095,2017,19,30,113.813,88.56640,8.97570
90095,2017,20,00,113.834,88.56450,8.94970
90095,2017,20,30,113.854,88.56270,8.92720
90095,2017,21,00,113.875,88.56090,8.90610
90095,2017,21,30,113.896,88.55910,8.88550
90095,2017,22,00,113.917,88.55740,8.86360
90095,2017,22,30,113.938,88.55570,8.84540
90095,2017,23,00,113.959,88.55400,8.81920
90095,2017,23,30,113.979,88.55220,8.79630
90095,2017,00,00,114.000,88.55060,8.77400
90095,2017,00,30,114.021,88.54890,8.75270
90095,2017,01,00,114.042,88.54720,8.72980
90095,2017,01,30,114.063,88.54550,8.70800
90095,2017,02,00,114.084,88.54380,8.68680
90095,2017,02,30,114.104,88.54210,8.66440
90095,2017,03,00,114.125,88.54040,8.64100
90095,2017,03,30,114.146,88.53860,8.61610
90095,2017,04,00,114.167,88.53690,8.59050
90095,2017,04,30,114.188,88.53500,8.56690
90095,2017,05,00,114.209,88.53310,8.53400
90095,2017,05,30,114.229,88.53100,8.49860
90095,2017,06,00,114.250,88.52900,8.46680
90095,2017,06,30,114.271,88.52710,8.43380
